word,frequency
linear-system,1.7923716661887008e-05
log-spectrum,3.983048147086002e-06
timestream,1.5932192588344008e-05
traincascad,1.991524073543001e-06
state-of-the-art,1.3940668514801007e-05
vhf,5.974572220629003e-06
area,0.0006352961794602173
iulian,1.991524073543001e-06
anti-caus,1.1949144441258006e-05
auto-paramet,1.991524073543001e-06
re-quant,5.974572220629003e-06
peakdet,1.991524073543001e-06
repel,5.974572220629003e-06
fresnel,1.991524073543001e-06
chessboard,3.7838957397317017e-05
batteri,9.957620367715004e-06
audiofram,1.991524073543001e-06
sim,1.991524073543001e-06
fiddl,1.991524073543001e-06
replic,5.377114998566103e-05
lay,1.1949144441258006e-05
a-period,1.991524073543001e-06
lwt,1.991524073543001e-06
malvar,1.991524073543001e-06
merri,3.983048147086002e-06
photobucket,1.991524073543001e-06
root-mean-squar,1.991524073543001e-06
zr,1.991524073543001e-06
recurs,0.00015334735366281108
implemt,1.991524073543001e-06
purpos,0.00042817767581174523
polici,1.1949144441258006e-05
benesti,3.983048147086002e-06
mute,1.1949144441258006e-05
distant,1.1949144441258006e-05
non-stationar,1.991524073543001e-06
aesthet,3.983048147086002e-06
hand-sid,1.991524073543001e-06
brisk,5.974572220629003e-06
femor,5.974572220629003e-06
filtertyp,1.991524073543001e-06
introductori,1.7923716661887008e-05
fullfil,5.974572220629003e-06
minblep,3.5847433323774016e-05
recogniz,9.957620367715004e-06
barnrich,1.991524073543001e-06
bspk,1.991524073543001e-06
non-uniformli,1.1949144441258006e-05
pillbox,7.966096294172004e-06
high-bandwidth,1.991524073543001e-06
beat,0.00014338973329509606
mclellan,1.991524073543001e-06
operat,1.991524073543001e-06
ota,1.991524073543001e-06
forest,2.3898288882516013e-05
becam,2.7881337029602014e-05
rotate-right,1.991524073543001e-06
singer,2.5889812956059013e-05
full-siz,1.991524073543001e-06
plate,4.182200554440302e-05
benign,3.983048147086002e-06
lingo,3.983048147086002e-06
maganti,1.991524073543001e-06
slaney,3.983048147086002e-06
algorthm,3.983048147086002e-06
koopman,5.974572220629003e-06
low-vari,1.991524073543001e-06
honk,5.974572220629003e-06
yamaha,1.991524073543001e-06
pathologist,1.991524073543001e-06
fill,0.0002031354555013861
non-e,3.983048147086002e-06
disc,1.1949144441258006e-05
poor,0.00011351687219195106
not-necessarily-mus,1.991524073543001e-06
passfilt,1.991524073543001e-06
ltfat,3.983048147086002e-06
bandwidth-tim,1.991524073543001e-06
fdaf,5.974572220629003e-06
author,0.0001991524073543001
karaok,9.957620367715004e-06
shave,1.991524073543001e-06
hi-r,1.991524073543001e-06
naval,1.991524073543001e-06
untangl,1.991524073543001e-06
q-phase,5.974572220629003e-06
semi-form,1.991524073543001e-06
wpm,5.974572220629003e-06
decentr,1.991524073543001e-06
squareroot,1.991524073543001e-06
alreadi,0.0005496606442978683
sensor,0.0005596182646655833
pass-band,2.5889812956059013e-05
present,0.0005217793072682663
cameraman,7.966096294172004e-06
thigh,1.991524073543001e-06
mall,1.991524073543001e-06
mini-batch,3.983048147086002e-06
pca,9.957620367715005e-05
waveelt,1.991524073543001e-06
attent,2.1906764808973012e-05
close-rang,3.983048147086002e-06
ding,1.991524073543001e-06
idea--even,1.991524073543001e-06
med-high,1.991524073543001e-06
vpa,5.974572220629003e-06
hp,5.974572220629003e-05
downmix,1.991524073543001e-06
half-spectrum,1.991524073543001e-06
great,0.00027682184622247714
coefficeint,1.991524073543001e-06
logic,0.00016529649810406908
fring,1.991524073543001e-05
with,5.974572220629003e-06
chroma,1.3940668514801007e-05
forex,1.991524073543001e-06
sequel,1.991524073543001e-06
comprehens,1.5932192588344008e-05
abbyy,1.991524073543001e-06
four-corn,1.991524073543001e-06
shred,1.991524073543001e-06
upsmapl,1.991524073543001e-06
unlik,3.3855909250231016e-05
iq-data,3.983048147086002e-06
secondari,4.182200554440302e-05
clunki,3.983048147086002e-06
morl,1.991524073543001e-06
thirteen,3.983048147086002e-06
fs,0.00016529649810406908
fspecial,1.5932192588344008e-05
nullspac,5.974572220629003e-06
non-intrus,1.991524073543001e-06
toolkit,1.1949144441258006e-05
ps,0.00011351687219195106
bci,7.966096294172004e-06
two-dimension,1.991524073543001e-05
inevit,1.1949144441258006e-05
sub-block,3.983048147086002e-06
entranc,1.991524073543001e-06
istft,5.974572220629003e-06
cooper,3.983048147086002e-06
everytim,3.983048147086002e-06
rolloff,5.974572220629003e-06
lung,5.974572220629003e-06
apriori,3.983048147086002e-06
nicer,5.974572220629003e-06
smple,1.991524073543001e-06
loess,1.991524073543001e-06
frankli,5.974572220629003e-06
headless,1.991524073543001e-06
aka,3.3855909250231016e-05
coeffiec,1.991524073543001e-06
ref,1.991524073543001e-06
consist,0.0003704234776789982
anastasio,1.991524073543001e-06
paper,0.0014020329477742728
paint-skil,1.991524073543001e-06
eqd,1.991524073543001e-06
de-norm,1.991524073543001e-06
wbfm,1.991524073543001e-06
per,0.0006352961794602173
voss,9.957620367715004e-06
electrooculograph,1.991524073543001e-06
shricharan,1.991524073543001e-06
jm,1.991524073543001e-05
hand-wav,1.991524073543001e-06
defocus,1.991524073543001e-06
nota,1.991524073543001e-06
inst,1.991524073543001e-06
heterogen,3.983048147086002e-06
pre-amplifi,1.991524073543001e-06
dice,7.966096294172004e-06
whant,1.991524073543001e-06
music-process,1.991524073543001e-06
latch,5.974572220629003e-06
gusev,1.991524073543001e-06
crack,9.957620367715004e-06
complet,0.0005237708313418093
bufferedimag,1.991524073543001e-06
creat,0.0014119905681419878
radar,0.00015733040180989708
kspace,7.966096294172004e-06
subsystem,7.966096294172004e-06
out-by-on,1.991524073543001e-06
jprr,1.991524073543001e-06
nonisotrop,1.991524073543001e-06
remot,1.7923716661887008e-05
frim,1.991524073543001e-06
flicker,3.1864385176688015e-05
unsettl,1.991524073543001e-06
volumetr,1.991524073543001e-06
outdoor,1.3940668514801007e-05
exract,1.991524073543001e-06
camshift,1.991524073543001e-06
rda,1.991524073543001e-06
shapiro-wilk,1.991524073543001e-06
vanish,2.7881337029602014e-05
timsac,1.991524073543001e-06
vector,0.0016151260236433739
hermit,1.5932192588344008e-05
convolution-bas,3.983048147086002e-06
inverse-fft,1.991524073543001e-06
ballast,1.991524073543001e-06
identificaiton,1.991524073543001e-06
tukey,1.1949144441258006e-05
sentenc,8.165248701526303e-05
lq-control,1.991524073543001e-06
utk,3.983048147086002e-06
tzanetaki,5.974572220629003e-06
houmogen,1.991524073543001e-06
emi,5.974572220629003e-06
r-tree,1.991524073543001e-06
tempo,2.5889812956059013e-05
head,0.00014936430551572508
varargin,1.991524073543001e-06
enbw,3.983048147086002e-06
reflect,0.00023101679253098811
make,0.002377879743810343
outright,1.991524073543001e-06
idct,2.3898288882516013e-05
ocr,7.966096294172003e-05
fftreal,1.991524073543001e-06
construct,0.0002788133702960201
labori,5.974572220629003e-06
colour,0.00015135582958926807
season,9.957620367715004e-06
kutlako,1.991524073543001e-06
graythresh,1.991524073543001e-06
monophon,1.5932192588344008e-05
denois,0.0001832202147659561
car,0.0001772456425453271
cheaper,1.7923716661887008e-05
vox,1.991524073543001e-06
preclud,3.983048147086002e-06
interweb,1.991524073543001e-06
anylysi,1.991524073543001e-06
learnt,2.1906764808973012e-05
transfer-funct,0.0008643214479176624
leq,9.957620367715004e-06
barycent,1.991524073543001e-06
samarabandu,1.991524073543001e-06
beep,3.983048147086002e-05
burg,1.7923716661887008e-05
wiener-khintchin,1.991524073543001e-06
coupon,5.974572220629003e-06
dismiss,1.991524073543001e-06
canb,1.991524073543001e-06
