word,StackTrain,MoocDsp
therebi,3.0286547802692247e-05,0.0
employ,8.434846137330107e-05,0.0
quit,0.0006276906584069805,0.0011052185642170078
gt,4.073033253280355e-05,0.0
singh,3.808504568333252e-06,0.0
plain-text,1.109044785018036e-05,0.0
subfram,2.8940572914239135e-05,0.0
non-smooth,1.0852714842839674e-05,0.0
no-filt,3.808504568333252e-06,0.0
parks-mcclellan,4.711240769307682e-05,0.0
intermitt,1.4224419728521107e-05,0.0
handbook,1.98897002517204e-05,0.00018306524595402591
in-one-go,3.808504568333252e-06,0.0
explicitli,4.42629268121594e-05,0.0003259175746627805
halftranspar,3.808504568333252e-06,0.0
phenomena,3.083974794203878e-05,0.0
remain,0.00023275187760690458,0.0003934751302721076
hb,3.808504568333252e-06,0.0
ue,7.393631900120241e-06,0.0
peak-detect,7.014409982008621e-05,0.0
brainweb,3.808504568333252e-06,0.0
opecv,3.808504568333252e-06,0.0
scmo,3.808504568333252e-06,0.0
wxmaxima,7.617009136666504e-06,0.0
mine,8.121791583790574e-05,0.0003203706487831245
infer,7.04717513209659e-05,0.0
nl,3.808504568333252e-06,0.0
phone,0.00027487099202056387,0.00014881875047664182
uncov,3.808504568333252e-06,0.0
mridata,3.808504568333252e-06,0.0
somebodi,0.00025526059724708755,0.0002685056281162705
migrat,1.4224419728521107e-05,0.0
dfft,7.393631900120241e-06,0.0
often,0.0002810376161726336,0.0002653001543298835
accel,7.393631900120241e-06,0.0
sfft,3.808504568333252e-06,0.0
fronhaul,3.808504568333252e-06,0.0
overheat,3.808504568333252e-06,0.0
machin,0.00020672781078945554,0.00015021532058018543
colorbar,3.808504568333252e-06,0.0
mitra,1.4224419728521107e-05,0.0
halft,3.808504568333252e-06,0.0
capcom,3.808504568333252e-06,0.0
repeat,0.00036081984730797857,0.0003831916089729121
bsd,3.808504568333252e-06,0.0
massachusett,3.808504568333252e-06,0.0
non-gaussan,3.808504568333252e-06,0.0
asses,3.808504568333252e-06,0.0
parsev,3.5799672839642346e-05,0.0008237524737075806
ephraim,1.4224419728521107e-05,0.0
flavia,3.808504568333252e-06,0.0
censu,7.617009136666504e-06,0.0
randomis,3.808504568333252e-06,0.0
eqe,3.808504568333252e-06,0.0
matcher,1.0852714842839674e-05,0.0
imfil,1.1425513704999755e-05,0.0
informativa,3.808504568333252e-06,0.0
scratchi,7.617009136666504e-06,0.0
greyscal,4.073033253280355e-05,0.0
nm,2.5877711650420843e-05,0.0
bond,7.393631900120241e-06,0.0
nuclear,1.4470286457119568e-05,0.0
sure,0.001005506079533515,0.0016195725777655278
crowl,3.808504568333252e-06,0.0
gb,2.133662959278166e-05,0.0
freescal,1.7529414980033797e-05,0.0
lower-right,3.808504568333252e-06,0.0
downvot,3.808504568333252e-06,0.0
canb,3.808504568333252e-06,0.0
drawn,9.830044352805828e-05,0.0
wood,2.133662959278166e-05,0.0
non-primit,3.808504568333252e-06,0.0
garner,3.808504568333252e-06,0.0
rosten,3.808504568333252e-06,0.0
