word,StackTrain,MoocReactive
therebi,3.0957492276108e-05,0.0
employ,8.230008830536608e-05,2.5227455948524766e-05
quit,0.0005728282123305448,0.000563411983968499
gt,4.159226717546434e-05,0.0
singh,3.841481608906895e-06,0.0
plain-text,1.1220798889456471e-05,0.0
subfram,2.9347623115718703e-05,0.0
non-smooth,1.1005358668394515e-05,0.0
no-filt,3.841481608906895e-06,0.0
parks-mcclellan,4.8156099096167996e-05,0.0
intermitt,1.335402420636238e-05,8.28915655238293e-05
handbook,2.14034254622606e-05,0.0
in-one-go,3.841481608906895e-06,0.0
explicitli,4.047335558682174e-05,0.00026797613501371344
halftranspar,3.841481608906895e-06,0.0
phenomena,3.1458817530205035e-05,0.0
remain,0.00022228100149235966,0.0003566701706459032
hb,3.841481608906895e-06,0.0
ue,7.48053259297098e-06,0.0
peak-detect,7.21489311491328e-05,0.0
brainweb,3.841481608906895e-06,0.0
opecv,3.841481608906895e-06,0.0
scmo,3.841481608906895e-06,0.0
wxmaxima,7.68296321781379e-06,0.0
mine,7.684615348068533e-05,0.0001135719352862367
infer,6.863922616623413e-05,5.164361239991981e-05
nl,3.668452889464838e-06,3.0361265224533406e-05
phone,0.0002888868601491801,2.3440373979601992e-05
uncov,3.841481608906895e-06,0.0
mridata,3.841481608906895e-06,0.0
somebodi,0.00023823032296157654,0.0002065557765783935
migrat,1.335402420636238e-05,5.5261043682552873e-05
dfft,7.48053259297098e-06,0.0
often,0.00028008250799914803,9.906199015547586e-05
accel,7.48053259297098e-06,0.0
sfft,3.841481608906895e-06,0.0
fronhaul,3.841481608906895e-06,0.0
overheat,3.841481608906895e-06,0.0
machin,0.00019614823221911988,0.00010680159286792695
colorbar,3.841481608906895e-06,0.0
mitra,1.4451000333816228e-05,0.0
halft,3.841481608906895e-06,0.0
capcom,3.841481608906895e-06,0.0
repeat,0.00035215988414453444,0.0003362983283348808
bsd,3.841481608906895e-06,0.0
massachusett,3.841481608906895e-06,0.0
non-gaussan,3.841481608906895e-06,0.0
asses,3.841481608906895e-06,0.0
parsev,4.1276656368144e-05,0.0
ephraim,1.4451000333816228e-05,0.0
flavia,3.841481608906895e-06,0.0
censu,7.336905778929676e-06,3.0361265224533406e-05
randomis,3.841481608906895e-06,0.0
eqe,3.841481608906895e-06,0.0
matcher,1.0486272510068343e-05,5.785845068534492e-05
imfil,1.1524444826720685e-05,0.0
informativa,3.841481608906895e-06,0.0
scratchi,7.68296321781379e-06,0.0
greyscal,4.159226717546434e-05,0.0
nm,2.618186407539843e-05,0.0
bond,7.48053259297098e-06,0.0
nuclear,1.4673811557859352e-05,0.0
sure,0.0009158721452663694,0.001052783994902548
crowl,3.841481608906895e-06,0.0
gb,2.167650050072434e-05,0.0
freescal,1.7836187885217164e-05,0.0
lower-right,3.841481608906895e-06,0.0
downvot,3.668452889464838e-06,3.0361265224533406e-05
canb,3.841481608906895e-06,0.0
drawn,0.00010156608312602173,0.0
wood,2.167650050072434e-05,0.0
non-primit,3.841481608906895e-06,0.0
garner,3.841481608906895e-06,0.0
rosten,3.841481608906895e-06,0.0
chebi,3.841481608906895e-06,0.0
kaiser,7.458671347654459e-05,0.0
