word,StackTrain,StackTest
therebi,3.3952653441562743e-05,7.644056284185718e-05
employ,9.175997656057312e-05,6.886240635770655e-05
quit,0.0006545634956233204,0.0007073643599462085
gt,4.664730326212045e-05,6.301267951057377e-05
singh,4.647193030853086e-06,0.0
plain-text,1.358642326507046e-05,0.0
subfram,3.555849652074103e-05,0.0
non-smooth,1.3334436195277885e-05,0.0
no-filt,4.647193030853086e-06,0.0
parks-mcclellan,5.1903109024393166e-05,0.0001502408382773367
intermitt,1.6235574819015367e-05,3.2897305991897944e-05
handbook,2.4744274941015425e-05,1.6712681736586737e-05
in-one-go,4.647193030853086e-06,0.0
explicitli,5.383469481726297e-05,0.00011635462318609621
halftranspar,4.647193030853086e-06,0.0
phenomena,3.45390225103013e-05,4.665642392702759e-05
remain,0.00024365013013052028,0.00037279060320411883
hb,4.647193030853086e-06,0.0
ue,8.652853578526057e-06,1.753282991511133e-05
peak-detect,8.072037781219177e-05,5.947619232392265e-05
brainweb,4.647193030853086e-06,0.0
opecv,4.647193030853086e-06,0.0
scmo,4.647193030853086e-06,0.0
wxmaxima,9.294386061706173e-06,0.0
mine,9.293536200157938e-05,9.415505996292094e-05
infer,7.33340416961431e-05,0.00016210143037084259
nl,4.647193030853086e-06,0.0
phone,0.00028816985261004155,0.0005037600342043979
uncov,4.647193030853086e-06,0.0
mridata,4.647193030853086e-06,0.0
somebodi,0.00027499468074990434,0.00021226952622180168
migrat,1.5899592059291938e-05,4.8324782240688084e-05
dfft,9.057615510046973e-06,0.0
often,0.0002825638019345433,0.00043063170451334014
accel,9.057615510046973e-06,0.0
sfft,4.647193030853086e-06,0.0
fronhaul,4.647193030853086e-06,0.0
overheat,4.647193030853086e-06,0.0
machin,0.0002239731352348857,0.00020302705694241242
colorbar,4.647193030853086e-06,0.0
mitra,1.6709115922333766e-05,1.692840892542062e-05
halft,4.647193030853086e-06,0.0
capcom,4.647193030853086e-06,0.0
repeat,0.00040669628125787903,0.000221864367685817
bsd,4.647193030853086e-06,0.0
massachusett,4.647193030853086e-06,0.0
non-gaussan,4.647193030853086e-06,0.0
asses,4.647193030853086e-06,0.0
parsev,4.33094853627006e-05,0.00010238173329736118
ephraim,1.6235574819015367e-05,3.2897305991897944e-05
flavia,4.647193030853086e-06,0.0
censu,9.294386061706173e-06,0.0
randomis,4.647193030853086e-06,0.0
eqe,4.647193030853086e-06,0.0
matcher,1.3334436195277885e-05,0.0
imfil,1.3941579092559259e-05,0.0
informativa,4.647193030853086e-06,0.0
scratchi,9.294386061706173e-06,0.0
greyscal,4.3210783393824665e-05,0.00013133366505059313
nm,3.1701654285164405e-05,0.0
bond,9.057615510046973e-06,0.0
nuclear,1.7779248260370513e-05,0.0
sure,0.0011007191535057804,0.0009540857485939949
crowl,4.647193030853086e-06,0.0
gb,2.5063673883500648e-05,1.692840892542062e-05
freescal,2.0620229117512854e-05,1.6712681736586737e-05
lower-right,4.647193030853086e-06,0.0
downvot,4.24243109933217e-06,5.157731299817515e-05
canb,4.647193030853086e-06,0.0
drawn,0.00010221171504459439,0.0001423855912705562
wood,2.286902847591304e-05,9.267666046888571e-05
non-primit,4.647193030853086e-06,0.0
garner,4.647193030853086e-06,0.0
rosten,4.444812065092628e-06,1.8012585844582976e-05
chebi,4.647193030853086e-06,0.0
kaiser,8.340498457792183e-05,5.878233349742227e-05
rip,3.6050944929056736e-05,9.739755484269054e-05
